
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    10.0.2.34:64531        216.239.34.157:443     TIME_WAIT       0
  TCP    10.0.2.34:64542        172.253.118.113:443    ESTABLISHED     26272
  TCP    10.0.2.34:64543        74.125.24.102:443      ESTABLISHED     26272
  TCP    10.0.2.34:64610        104.21.34.211:443      ESTABLISHED     18776
  TCP    10.0.2.34:64612        216.239.34.157:443     TIME_WAIT       0
  TCP    10.0.2.34:64613        216.239.34.157:443     TIME_WAIT       0
  TCP    10.0.2.34:64614        172.253.118.95:443     ESTABLISHED     26272
  TCP    10.0.2.34:64615        123.30.242.10:443      ESTABLISHED     26272
  TCP    10.0.2.34:64616        210.245.8.134:443      ESTABLISHED     26272
  TCP    10.0.2.34:64617        210.245.8.134:443      ESTABLISHED     26272
  TCP    10.0.2.34:64618        172.217.117.4:443      ESTABLISHED     26272
  TCP    10.0.2.34:64619        104.26.12.201:443      ESTABLISHED     26272
  TCP    10.0.2.34:64620        172.67.71.213:443      ESTABLISHED     26272
  TCP    10.0.2.34:64621        172.67.71.213:443      TIME_WAIT       0
  TCP    10.0.2.34:64622        172.67.71.213:443      ESTABLISHED     26272
  TCP    10.0.2.34:64623        104.26.12.201:443      ESTABLISHED     26272
  TCP    10.0.2.34:64625        172.67.75.122:443      ESTABLISHED     26272
  TCP    10.0.2.34:64626        57.144.150.145:443     ESTABLISHED     26272
  TCP    10.0.2.34:64629        103.108.101.196:1443   CLOSE_WAIT      9672
  TCP    10.0.2.34:64630        103.108.101.196:1443   CLOSE_WAIT      9672
  TCP    10.0.2.34:64631        103.108.101.108:1443   ESTABLISHED     9672
  TCP    10.0.2.34:64632        49.213.95.187:443      ESTABLISHED     31080
  TCP    127.0.0.1:5305         127.0.0.1:64425        ESTABLISHED     24332
  TCP    127.0.0.1:5305         127.0.0.1:64509        TIME_WAIT       0
  TCP    127.0.0.1:5305         127.0.0.1:64510        TIME_WAIT       0
  TCP    127.0.0.1:5305         127.0.0.1:64528        TIME_WAIT       0
  TCP    127.0.0.1:5305         127.0.0.1:64529        TIME_WAIT       0
  TCP    127.0.0.1:5939         0.0.0.0:0              LISTENING       16224
  TCP    127.0.0.1:44950        0.0.0.0:0              LISTENING       37600
  TCP    127.0.0.1:44960        0.0.0.0:0              LISTENING       37600
  TCP    127.0.0.1:53269        127.0.0.1:53270        ESTABLISHED     11652
  TCP    127.0.0.1:53270        127.0.0.1:53269        ESTABLISHED     11652
  TCP    127.0.0.1:53281        127.0.0.1:53283        ESTABLISHED     11652
  TCP    127.0.0.1:53282        127.0.0.1:53284        ESTABLISHED     11652
  TCP    127.0.0.1:53283        127.0.0.1:53281        ESTABLISHED     11652
  TCP    127.0.0.1:53284        127.0.0.1:53282        ESTABLISHED     11652
  TCP    127.0.0.1:53285        127.0.0.1:53288        ESTABLISHED     11652
  TCP    127.0.0.1:53286        127.0.0.1:53289        ESTABLISHED     11652
  TCP    127.0.0.1:53287        127.0.0.1:53290        ESTABLISHED     11652
  TCP    127.0.0.1:53288        127.0.0.1:53285        ESTABLISHED     11652
  TCP    127.0.0.1:53289        127.0.0.1:53286        ESTABLISHED     11652
  TCP    127.0.0.1:53290        127.0.0.1:53287        ESTABLISHED     11652
  TCP    127.0.0.1:57740        0.0.0.0:0              LISTENING       31064
  TCP    127.0.0.1:57740        127.0.0.1:57751        ESTABLISHED     31064
  TCP    127.0.0.1:57740        127.0.0.1:57752        ESTABLISHED     31064
  TCP    127.0.0.1:57740        127.0.0.1:57753        ESTABLISHED     31064
  TCP    127.0.0.1:57740        127.0.0.1:57754        ESTABLISHED     31064
  TCP    127.0.0.1:57740        127.0.0.1:57772        ESTABLISHED     31064
  TCP    127.0.0.1:57740        127.0.0.1:57796        ESTABLISHED     31064
  TCP    127.0.0.1:57741        0.0.0.0:0              LISTENING       31064
  TCP    127.0.0.1:57744        0.0.0.0:0              LISTENING       18996
  TCP    127.0.0.1:57744        127.0.0.1:57773        ESTABLISHED     18996
  TCP    127.0.0.1:57744        127.0.0.1:57774        ESTABLISHED     18996
  TCP    127.0.0.1:57745        0.0.0.0:0              LISTENING       18996
  TCP    127.0.0.1:57751        127.0.0.1:57740        ESTABLISHED     18996
  TCP    127.0.0.1:57752        127.0.0.1:57740        ESTABLISHED     18996
  TCP    127.0.0.1:57753        127.0.0.1:57740        ESTABLISHED     18996
  TCP    127.0.0.1:57754        127.0.0.1:57740        ESTABLISHED     18996
  TCP    127.0.0.1:57772        127.0.0.1:57740        ESTABLISHED     18996
  TCP    127.0.0.1:57773        127.0.0.1:57744        ESTABLISHED     31064
  TCP    127.0.0.1:57774        127.0.0.1:57744        ESTABLISHED     37460
  TCP    127.0.0.1:57796        127.0.0.1:57740        ESTABLISHED     18996
  TCP    127.0.0.1:58519        0.0.0.0:0              LISTENING       34376
  TCP    127.0.0.1:61967        0.0.0.0:0              LISTENING       24332
  TCP    127.0.0.1:61967        127.0.0.1:61968        ESTABLISHED     24332
  TCP    127.0.0.1:61968        127.0.0.1:61967        ESTABLISHED     12404
  TCP    127.0.0.1:62221        127.0.0.1:62222        ESTABLISHED     33684
  TCP    127.0.0.1:62222        127.0.0.1:62221        ESTABLISHED     33684
  TCP    127.0.0.1:62235        0.0.0.0:0              LISTENING       31220
  TCP    127.0.0.1:62235        127.0.0.1:62236        ESTABLISHED     31220
  TCP    127.0.0.1:62236        127.0.0.1:62235        ESTABLISHED     36992
  TCP    127.0.0.1:62237        0.0.0.0:0              LISTENING       31220
  TCP    127.0.0.1:62237        127.0.0.1:62238        ESTABLISHED     31220
  TCP    127.0.0.1:62238        127.0.0.1:62237        ESTABLISHED     5796
  TCP    127.0.0.1:64425        127.0.0.1:5305         ESTABLISHED     26272
  TCP    127.0.0.1:64579        127.0.0.1:3000         TIME_WAIT       0
  TCP    127.0.0.1:64609        127.0.0.1:3000         TIME_WAIT       0
